src	trg	weight
Midnight Oil	Yes (band)	2.523195907507533
Midnight Oil	The Jam	2.523195907507533
Midnight Oil	The Who	2.523195907507533
Midnight Oil	Peter Gabriel	2.523195907507533
Mike and the Mechanics	Steely Dan	1.0013661054085046
Mitch Ryder	Ted Nugent	1.1458256759977703
Mitch Ryder	The Yardbirds	1.1458256759977703
Modest Mouse	The Flaming Lips	1.1269712051673935
Modest Mouse	rock music	1.1269712051673935
Modest Mouse	Pixies (band)	1.1269712051673935
Modest Mouse	The Smiths	1.1269712051673935
Modest Mouse	Nirvana (band)	1.1269712051673935
Modest Mouse	The Black Keys	1.1269712051673935
Montgomery Gentry	The Allman Brothers Band	1.0175057212780447
Morrissey	Oasis (band)	1.6707670721345091
Morrissey	R.E.M.	1.6707670721345091
Morrissey	New York Dolls	1.6707670721345091
Morrissey	Sex Pistols	1.6707670721345091
Morrissey	The Smiths	1.6707670721345091
Morrissey	Red Hot Chili Peppers	1.6707670721345091
Morrissey	Roxy Music	1.6707670721345091
Morrissey	Paul McCartney	1.6707670721345091
Morrissey	T. Rex (band)	1.6707670721345091
Morrissey	The Cult	1.6707670721345091
Morrissey	Talking Heads	1.6707670721345091
Morrissey	The Flaming Lips	1.6707670721345091
Morrissey	The Killers	1.6707670721345091
Morrissey	System of a Down	1.6707670721345091
Morrissey	Ramones	1.6707670721345091
Morrissey	My Chemical Romance	1.6707670721345091
Motörhead	Ozzy Osbourne	1.2111224671360596
Motörhead	Slayer	1.2111224671360596
Motörhead	W.A.S.P. (band)	1.2111224671360596
Motörhead	Volbeat	1.2111224671360596
Motörhead	rock music	1.2111224671360596
Motörhead	Thin Lizzy	1.2111224671360596
Motörhead	Scorpions (band)	1.2111224671360596
Motörhead	Sepultura	1.2111224671360596
Motörhead	Ramones	1.2111224671360596
Mudvayne	Pantera	1.1971992149185893
Mudvayne	Slipknot (band)	1.1971992149185893
Mudvayne	Slayer	1.1971992149185893
Mudvayne	Tool (band)	1.1971992149185893
Mudvayne	Rush (band)	1.1971992149185893
Mudvayne	Rob Zombie	1.1971992149185893
Mumford & Sons	The Flaming Lips	1.1575458054111765
Mumford & Sons	The Band	1.1575458054111765
Mumford & Sons	The Lumineers	1.1575458054111765
Mumford & Sons	Nine Inch Nails	1.1575458054111765
Muse (band)	Rage Against the Machine	1.702319173878032
Muse (band)	Radiohead	1.702319173878032
Muse (band)	The Cure	1.702319173878032
Muse (band)	Red Hot Chili Peppers	1.702319173878032
Muse (band)	Roxy Music	1.702319173878032
Muse (band)	Queens of the Stone Age	1.702319173878032
Muse (band)	Starset	1.702319173878032
Muse (band)	Nine Inch Nails	1.702319173878032
Muse (band)	Thirty Seconds to Mars	1.702319173878032
Muse (band)	Queen (band)	1.702319173878032
Muse (band)	Royal Blood (band)	1.702319173878032
Muse (band)	My Chemical Romance	1.702319173878032
My Chemical Romance	Sonic Youth	2.7429506205641534
My Chemical Romance	The All-American Rejects	2.7429506205641534
My Chemical Romance	Van Halen	2.7429506205641534
My Chemical Romance	Queen (band)	2.7429506205641534
My Chemical Romance	The Smashing Pumpkins	2.7429506205641534
My Chemical Romance	Panic! at the Disco	2.7429506205641534
My Chemical Romance	Ramones	2.7429506205641534
My Chemical Romance	Paramore	2.7429506205641534
My Chemical Romance	Pantera	2.7429506205641534
My Chemical Romance	Twenty One Pilots	2.7429506205641534
My Chemical Romance	Sex Pistols	2.7429506205641534
