src	trg	nij
Simon & Garfunkel	The Everly Brothers	2.7799684089057934
Simon & Garfunkel	Yes (band)	2.7799684089057934
Simon & Garfunkel	The Lovin' Spoonful	2.7799684089057934
Simon & Garfunkel	The Mothers of Invention	2.7799684089057934
Simon & Garfunkel	The Bangles	2.7799684089057934
Simple Minds	Stevie Nicks	2.7951395844792764
Simple Minds	The Velvet Underground	2.7951395844792764
Simple Minds	Tom Petty	2.7951395844792764
Simple Minds	U2	2.7951395844792764
Simple Minds	Smash Mouth	2.7951395844792764
Simple Plan	The Offspring	2.074968368530215
Simple Plan	Weezer	2.074968368530215
Simple Plan	The Cab	2.074968368530215
Simple Plan	Sum 41	2.074968368530215
Skid Row (American band)	Trivium (band)	3.4774243993318668
Skid Row (American band)	Soundgarden	3.4774243993318668
Skid Row (American band)	Velvet Revolver	3.4774243993318668
Skid Row (American band)	Van Halen	3.4774243993318668
Skid Row (American band)	Ted Nugent	3.4774243993318668
Skid Row (American band)	Stone Sour	3.4774243993318668
Skillet (band)	Thousand Foot Krutch	1.4779509798679633
Skillet (band)	Three Days Grace	1.4779509798679633
Skillet (band)	Theory of a Deadman	1.4779509798679633
Skillet (band)	Stone Sour	1.4779509798679633
Slade	Steppenwolf (band)	9.880888347271584
Slade	Ten Years After	9.880888347271584
Slade	The Animals	9.880888347271584
Slade	Thin Lizzy	9.880888347271584
Slade	Status Quo (band)	9.880888347271584
Slade	The Beatles	9.880888347271584
Slade	Twisted Sister	9.880888347271584
Slade	ZZ Top	9.880888347271584
Slade	The Sweet	9.880888347271584
Slade	The Moody Blues	9.880888347271584
Slade	The Lovin' Spoonful	9.880888347271584
Slade	Ted Nugent	9.880888347271584
Slayer	W.A.S.P. (band)	5.967795263110685
Slayer	Trivium (band)	5.967795263110685
Slayer	Tenacious D	5.967795263110685
Slayer	System of a Down	5.967795263110685
Slayer	Weezer	5.967795263110685
Slayer	Sum 41	5.967795263110685
Slayer	Slipknot (band)	5.967795263110685
Slayer	Volbeat	5.967795263110685
Slayer	Tool (band)	5.967795263110685
Slayer	The Smashing Pumpkins	5.967795263110685
Slayer	Van Halen	5.967795263110685
Slayer	Staind	5.967795263110685
Slayer	Ted Nugent	5.967795263110685
Slipknot (band)	Trivium (band)	9.029740397833596
Slipknot (band)	Sublime with Rome	9.029740397833596
Slipknot (band)	White Zombie (band)	9.029740397833596
Slipknot (band)	System of a Down	9.029740397833596
Slipknot (band)	Volbeat	9.029740397833596
Slipknot (band)	The Cure	9.029740397833596
Slipknot (band)	Stone Sour	9.029740397833596
Sly and the Family Stone	The Doors	7.812210199228233
Sly and the Family Stone	Yes (band)	7.812210199228233
Sly and the Family Stone	Steve Winwood	7.812210199228233
Small Faces	The Kinks	1.9321785980972441
Small Faces	The Who	1.9321785980972441
Small Faces	The Beach Boys	1.9321785980972441
Smash Mouth	The Beatles	2.9871875445666225
Smash Mouth	The Monkees	2.9871875445666225
Smash Mouth	U2	2.9871875445666225
Smash Mouth	Third Eye Blind	2.9871875445666225
Smash Mouth	Soundgarden	2.9871875445666225
Smokie (band)	The Sweet	1.0247286326566827
Smokie (band)	Status Quo (band)	1.0247286326566827
Smokie (band)	T. Rex (band)	1.0247286326566827
Snow Patrol	The Script	1.461045167847204
Snow Patrol	U2	1.461045167847204
Social Distortion	Volbeat	3.881076041180537
Social Distortion	The Offspring	3.881076041180537
Sonic Youth	The Rolling Stones	2.28218170201821
Sonic Youth	The Flaming Lips	2.28218170201821
Sonic Youth	The Velvet Underground	2.28218170201821
Sonic Youth	The Jesus and Mary Chain	2.28218170201821
Sonic Youth	Weezer	2.28218170201821
Soundgarden	The Cult	10.420126568326262
Soundgarden	Stone Temple Pilots	10.420126568326262
Soundgarden	The Pretty Reckless	10.420126568326262
Soundgarden	White Zombie (band)	10.420126568326262
Soundgarden	The Beatles	10.420126568326262
